BTC,Bitcoin
ETH,Ethereum
USDT,Tether USDt
BNB,BNB
SOL,Solana
XRP,XRP
USDC,USDC
ADA,Cardano
AVAX,Avalanche
DOGE,Dogecoin
TRX,TRON
LINK,Chainlink
DOT,Polkadot
MATIC,Polygon
TON,Toncoin
UNI,Uniswap
ICP,Internet Computer
SHIB,Shiba Inu
DAI,Dai
BCH,Bitcoin Cash
LTC,Litecoin
IMX,Immutable
FIL,Filecoin
ATOM,Cosmos
ETC,Ethereum Classic
LEO,UNUS SED LEO
KAS,Kaspa
NEAR,NEAR Protocol
STX,Stacks
OP,Optimism
HBAR,Hedera
APT,Aptos
INJ,Injective
FDUSD,First Digital USD
XLM,Stellar
VET,VeChain
OKB,OKB
LDO,Lido DAO
TIA,Celestia
MNT,Mantle
GRT,The Graph
RNDR,Render
ARB,Arbitrum
CRO,Cronos
XMR,Monero
SEI,Sei
SUI,Sui
MKR,Maker
RUNE,THORChain
ALGO,Algorand
BEAM,Beam
FLR,Flare
FLOW,Flow
EGLD,MultiversX
BSV,Bitcoin SV
AAVE,Aave
STRK,Starknet
BGB,Bitget Token
ORDI,ORDI
THETA,Theta Network
MINA,Mina
HNT,Helium
QNT,Quant
TUSD,TrueUSD
SNX,Synthetix
WLD,Worldcoin
FTM,Fantom
SAND,The Sandbox
CHZ,Chiliz
AXS,Axie Infinity
APE,ApeCoin
BLUR,Blur
XTZ,Tezos
AR,Arweave
BTT,BitTorrent (New)
KCS,KuCoin Token
ETHDYDX,dYdX (ethDYDX)
1000SATS,SATS
AGIX,SingularityNET
MANA,Decentraland
DYM,Dymension
CFX,Conflux
WOO,WOO
AKT,Akash Network
FET,Fetch.ai
GNO,Gnosis
NEO,Neo
ASTR,Astar
EOS,EOS
RON,Ronin
IOTA,IOTA
KAVA,Kava
PYTH,Pyth Network
GALA,Gala
AXL,Axelar
ROSE,Oasis Network
KLAY,Klaytn
JASMY,JasmyCoin
OSMO,Osmosis
BONK,Bonk
WEMIX,WEMIX
LUNC,Terra Classic
MANTA,Manta Network
CAKE,PancakeSwap
USDD,USDD
CKB,Nervos Network
ENS,Ethereum Name Service
CRV,Curve DAO Token
JUP,Jupiter
PENDLE,Pendle
XEC,eCash
FXS,Frax Share
NEXO,Nexo
RPL,Rocket Pool
ONDO,Ondo
ZETA,ZetaChain
METIS,Metis
FTT,FTX Token
SC,Siacoin
PEPE,Pepe
1INCH,1inch Network
XDC,XDC Network
CORE,Core
IOTX,IoTeX
TWT,Trust Wallet Token
COMP,Compound
ALT,Altlayer
SUPER,SuperVerse
XAUt,Tether Gold
XRD,Radix
GMX,GMX
ENJ,Enjin Coin
CELO,Celo
GT,GateToken
GMT,GMT
CVX,Convex Finance
NTRN,Neutron
ELF,aelf
LUNA,Terra
CSPR,Casper
ZEC,Zcash
PIXEL,Pixels
LPT,Livepeer
SKL,SKALE
BTG,Bitcoin Gold
NFT,APENFT
MASK,Mask Network
XAI,Xai
GAS,Gas
ZIL,Zilliqa
HOT,Holo
OCEAN,Ocean Protocol
KSM,Kusama
TRAC,OriginTrail
PAXG,PAX Gold
BAT,Basic Attention Token
GLM,Golem
LRC,Loopring
ILV,Illuvium
XCH,Chia
SUSHI,SushiSwap
SFP,SafePal
GLMR,Moonbeam
QTUM,Qtum
DASH,Dash
VTHO,VeThor Token
FLOKI,FLOKI
WIF,dogwifhat
XEM,NEM
CHR,Chromia
GAL,Galxe
RVN,Ravencoin
DCR,Decred
ANT,Aragon
API3,API3
USTC,TerraClassicUSD
DESO,Decentralized Social
PRIME,Echelon Prime
KDA,Kadena
AIOZ,AIOZ Network
MAGIC,Treasure
SSV,ssv.network
TFUEL,Theta Fuel
COTI,COTI
ETHW,EthereumPoW
ANKR,Ankr
ONE,Harmony
FLUX,Flux
CFG,Centrifuge
UMA,UMA
ZRX,0x Protocol
PYUSD,PayPal USD
RBN,Ribbon Finance
STORJ,Storj
